OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176400715                                            
Config info:
GSC,1.000
LaserDAC,159
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
112,32,12,3,1,1,1,0,0,0,1,0,0,0,0,0,19,24,29,0,3.929,1.387,12.940,15.871,35.732
92,39,13,1,1,1,1,1,0,0,0,0,0,1,0,1,17,23,35,29,4.086,1.383,12.017,15.082,129.961
114,37,9,4,0,1,0,1,0,0,0,0,1,0,0,1,19,23,29,39,4.011,1.386,12.973,15.586,131.389
137,32,8,4,1,1,2,2,0,2,0,0,0,0,0,0,17,28,27,32,4.123,1.387,13.442,17.196,39.936
101,20,16,1,1,0,2,0,0,0,0,0,0,0,0,0,19,25,0,0,4.064,1.387,10.931,13.733,14.371
109,30,16,1,1,1,2,0,0,0,0,0,0,0,0,0,18,23,27,0,4.079,1.387,12.508,15.667,16.353
85,31,11,3,2,3,0,0,0,0,0,0,0,0,0,0,19,22,24,0,4.015,1.387,10.705,13.448,13.656
98,36,14,2,0,2,3,1,0,1,0,0,0,0,0,0,17,22,25,31,4.135,1.383,12.105,16.068,28.107
104,28,17,5,1,1,1,2,2,0,0,0,0,0,0,1,18,21,25,34,4.127,1.387,12.126,16.555,76.192
107,26,13,7,2,1,1,2,0,0,0,0,0,0,0,0,18,22,23,35,4.122,1.386,11.692,15.359,18.101
114,24,18,6,1,0,1,1,0,0,0,0,1,0,0,0,19,23,0,31,4.055,1.387,12.708,16.253,80.922
75,28,14,4,1,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,4.073,1.387,9.956,12.365,12.418
119,29,12,1,1,1,3,0,1,1,0,0,0,0,0,0,18,23,23,0,4.085,1.387,12.495,16.090,30.890
90,39,14,4,2,0,2,0,1,0,0,0,0,0,0,0,19,22,0,0,4.008,1.387,12.360,16.040,20.655
118,28,13,3,0,1,1,1,0,0,0,0,0,0,0,0,18,22,25,31,4.040,1.383,12.681,15.661,17.235
104,35,12,2,2,0,1,0,0,1,0,0,0,0,0,0,19,23,0,0,3.985,1.387,12.536,15.452,26.023
112,39,15,4,0,2,2,1,0,0,0,0,0,0,0,0,18,22,24,29,4.034,1.387,13.824,17.712,19.641
107,30,12,6,1,1,1,0,0,0,0,0,0,0,0,1,19,25,23,0,3.986,1.387,12.330,15.309,66.720
